date,dg1_run_hrs,dg2_run_hrs,dg3_run_hrs,dg4_run_hrs,dg5_run_hrs,dg6_run_hrs,dg7_run_hrs,dg8_run_hrs,dg9_run_hrs,dg1_standby_hrs,dg2_standby_hrs,dg3_standby_hrs,dg4_standby_hrs,dg5_standby_hrs,dg6_standby_hrs,dg7_standby_hrs,dg8_standby_hrs,dg9_standby_hrs,dg1_maint_hrs,dg2_maint_hrs,dg3_maint_hrs,dg4_maint_hrs,dg5_maint_hrs,dg6_maint_hrs,dg7_maint_hrs,dg8_maint_hrs,dg9_maint_hrs,dg1_breakdown_hrs,dg2_breakdown_hrs,dg3_breakdown_hrs,dg4_breakdown_hrs,dg5_breakdown_hrs,dg6_breakdown_hrs,dg7_breakdown_hrs,dg8_breakdown_hrs,dg9_breakdown_hrs,dg1_mw,dg2_mw,dg3_mw,dg4_mw,dg5_mw,dg6_mw,dg7_mw,dg8_mw,dg9_mw,dg1_gen_kwh,dg2_gen_kwh,dg3_gen_kwh,dg4_gen_kwh,dg5_gen_kwh,dg6_gen_kwh,dg7_gen_kwh,dg8_gen_kwh,dg9_gen_kwh,dg1_hfo_kg,dg2_hfo_kg,dg3_hfo_kg,dg4_hfo_kg,dg5_hfo_kg,dg6_hfo_kg,dg7_hfo_kg,dg8_hfo_kg,dg9_hfo_kg,dg1_lo_ltr,dg2_lo_ltr,dg3_lo_ltr,dg4_lo_ltr,dg5_lo_ltr,dg6_lo_ltr,dg7_lo_ltr,dg8_lo_ltr,dg9_lo_ltr,dg1_lo_gross_ltr,dg2_lo_gross_ltr,dg3_lo_gross_ltr,dg4_lo_gross_ltr,dg5_lo_gross_ltr,dg6_lo_gross_ltr,dg7_lo_gross_ltr,dg8_lo_gross_ltr,dg9_lo_gross_ltr,dg1_lo_sweet_ltr,dg2_lo_sweet_ltr,dg3_lo_sweet_ltr,dg4_lo_sweet_ltr,dg5_lo_sweet_ltr,dg6_lo_sweet_ltr,dg7_lo_sweet_ltr,dg8_lo_sweet_ltr,dg9_lo_sweet_ltr,dg1_pro_data,dg2_pro_data,dg3_pro_data,dg4_pro_data,dg5_pro_data,dg6_pro_data,dg7_pro_data,dg8_pro_data,dg9_pro_data,dg1_hr_meter_open,dg1_hr_meter_close,dg2_hr_meter_open,dg2_hr_meter_close,dg3_hr_meter_open,dg3_hr_meter_close,dg4_hr_meter_open,dg4_hr_meter_close,dg5_hr_meter_open,dg5_hr_meter_close,dg6_hr_meter_open,dg6_hr_meter_close,dg7_hr_meter_open,dg7_hr_meter_close,dg8_hr_meter_open,dg8_hr_meter_close,dg9_hr_meter_open,dg9_hr_meter_close,gross_gen_kwh,aux_kwh,net_gen_kwh,trans_loss_kwh,trans_loss_pct,export_kwh,aux_baa901_kwh,aux_baa903_kwh,aux_baa906_kwh,total_hfo_kg,total_lfo_kg,total_fuel_kg,sfc_g_kwh,total_lo_topup_ltr,lo_gross_topup_ltr,lo_sweetening_ltr,lo_stock_ltr,used_lo_pct,tankers_tank1,tankers_tank2,tankers_tank3,tankers_tank4,tankers_tank5,tankers_total,hfo_tank1_m,hfo_tank2_m,hfo_tank3_m,hfo_tank4_m,hfo_tank5_m,day_tank1_m,buffer_tank1_m,day_tank2_kl,buffer_tank2_kl,lfo_tank_m,sludge_tank_pct,sludge_disposed_kg,used_lo_disposed_ltr,fresh_lo_received_ltr,bao901_kwh,bao902_kwh,bao903_kwh,bao904_kwh,bao905_kwh,bao906_kwh,bao907_kwh,bao909_kwh,bao910_kwh,bao901_init,bao902_init,bao903_init,bao904_init,bao905_init,bao906_init,bao907_init,bao909_init,bao910_init,comments,flags
2026-04-26,5.00,24.00,24.00,24.00,24.00,20.00,24.00,24.00,0,19.00,0,0,0,0,4.00,0,0,0,0,0,0,0,0,0,0,0,24.00,0,0,0,0,0,0,0,0,0,4.74,4.91,4.91,4.89,4.80,4.94,4.75,4.69,,23680,117824,117792,117312,115296,98880,114112,112448,0,5295,26510,26503,26006,24668,20532,24385,24466,0,0,60,0,60,120,60,0,0,0,0,60,300,60,120,60,300,300,0,0,0,300,0,0,0,300,300,0,,TRUE,TRUE,,,,,,,95458,95463,97136,97160,94091,94115,97167,97191,98003,98027,96483,96503,65197,65221,71948,71972,68669,68669,817344,37360,779984,-624,5,780608,12000,12800,12560,178366,0,178366,218.2,300,1200,900,20170,20,0,0,0,12,0,12,5.18,5.41,5.37,2.90,8.25,4.75,3.45,80,34,1.60,74,0,0,0,24300,14800,188500,274200,60200,0,39200,38512,140896,16317900,46222400,59550200,91928500,17763100,5131000,44947400,138865152,390520384,"DG#1,2,3,4,5,6,7,&8 available & DGs operated as per Cement Plant load requirement;Fuel Oil Consumption of DG#2 & DG#3 calculated on Pro Data basis (225 Gms/kWh) as MFMs not in operation;HFO Storage Tank#1 stock to be maintained at min 50%;Procurement of urgent Mech & Elect spares & tools needs to be made asap;LO stock Shell Argina S4-40 to be maintained adequately;Injector nozzle replacement for DG#1,2,4,5,&6 is overdue;Frequent DP alarms Line 1 & Line 2 feeder units urgent candle filter procurement;DG#9 under maintenance TC surging needs turbocharger & Governor overhauling","RED:Trans loss negative(-624kWh/5%)-meter calibration fault;YLW:DG2 & DG3 fuel on Pro Data basis (MFMs non-functional);YLW:DG9 under maintenance-TC surging-overhaul pending;YLW:Injector nozzle replacement overdue DG1,DG2,DG4,DG5,DG6;YLW:DP alarms Line-1 & Line-2 feeders - candle filters required;GRN:SFC excellent(218.2 g/kWh-well below 225 target);RED:Tank4 critically low(2.90m=29%)-below 30% threshold;YLW:Sludge tank elevated(74%)-disposal needed;YLW:Tank1 below 50% minimum(5.18m=52%)-borderline;YLW:BAO906 Colony2 zero export;YLW:DG3 LO sweetening 300L;YLW:DG7 LO sweetening 300L;YLW:DG8 LO sweetening 300L"
2026-04-27,7.00,24.00,24.00,20.00,19.00,24.00,21.00,24.00,0.00,17.00,0.00,0.00,4.00,5.00,0.00,3.00,0.00,0.00,0,0,0,0,0,0,0,0,24.00,0,0,0,0,0,0,0,0,0,4.70,4.39,4.39,4.57,4.64,4.39,4.21,4.19,,32928,105312,105280,91360,88128,105344,88320,100640,0,7529,23695,23688,20540,19532,22055,19288,22222,0,0,60,60,60,60,60,60,60,0,0,60,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,,TRUE,TRUE,,,,,,,95463,95470,97160,97184,94115,94139,97191,97211,98027,98046,96503,96527,65221,65242,71972,71996,68669,68669,717312,34488,682824,-948,5,683772,11400,11500,11588,158549,0,158549,221.0,420,420,0,18250,20,0,0,0,15,0,15,4.75,4.87,4.80,3.20,8.25,4.75,3.45,80,33,1.60,35,21000,0,0,22600,14600,157400,232400,57500,0,46200,37904,115168,16342200,46237200,59738700,92202700,17823300,5131000,44986600,138903664,390661280,"""DG1,2,3,4,5,6,7,8 available operated as per cement plant load; DG2&DG3 fuel on Pro Data basis 225 g/kWh MFMs not operational; HFO Tank1 maintain min 50%; Procurement urgent mech elect spares; LO stock Argina S4-40 maintain adequately; Injector nozzle replacement DG1,2,4,5,6 overdue urgent procurement; DP alarms Line1 Line2 feeders urgent candle filter procurement; DG9 under maintenance turbocharger surging needs TC governor overhauling; Sludge disposed 21000 kg""","RED:Negative trans loss meter fault;YLW:DG2 DG3 fuel Pro Data basis MFM fault;YLW:DG9 TC surging maint ongoing;YLW:Injector nozzle overdue DG1,2,4,5,6;YLW:DP alarms L1 L2 feeders candle filters needed;YLW:SFC below target 221.1 g/kWh OK"
2026-04-28,7,24,15,21,7,23,24,24,0,17,0,9,3,17,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4.21,4.29,4.39,4.14,4.13,4.25,4.16,4.1,,29472,103040,65920,86880,28896,97856,99744,98432,0,6619,23184,14832,19618,6364,20544,21645,21742,0,0,0,60,0,60,0,60,60,0,0,300,60,300,60,300,60,60,0,0,300,0,300,0,300,0,0,0,,TRUE,TRUE,,,,,,,95470,95477,97184,97208,94139,94154,97211,97232,98046,98053,96527,96550,65242,65266,71996,72020,68669,68669,610240,30180,580060,-280,5,580340,9500,9100,11580,134548,0,134548,220.5,240,1140,900,17110,24,0,27,0,7,0,34,4.35,5.19,5.09,3.55,8.25,4.75,3.45,80,32,1.6,38,0,0,0,20700,13900,130700,265400,60200,0,46400,16544,26496,16364800,46251800,59896100,92435100,17880800,5131000,45032800,138941568,390776448,"DG#1,2,3,4,5,6,7,&8 available & DGs operated as per Cement Plant load requirement;Fuel Oil Consumption of DG#2 & DG#3 calculated on Pro Data basis (225 Gms/kWh) as MFMs not in operation;HFO Storage Tank#1 stock to be maintained at min 50%;Procurement of urgent Mech & Elect spares & tools needs to be made asap;LO stock Shell Argina S4-40 to be maintained adequately;Injector nozzle replacement for DG#1,2,4,5,&6 is overdue;Frequent DP alarms Line 1 & Line 2 feeder units urgent candle filter procurement;DG#9 under maintenance TC surging needs turbocharger & Governor overhauling","RED:Trans loss negative(-280kWh/5%)-meter calibration fault;YLW:DG2 & DG3 fuel on Pro Data basis (MFMs non-functional);YLW:DG9 under maintenance-TC surging-overhaul pending;YLW:Injector nozzle replacement overdue DG1,DG2,DG4,DG5,DG6;YLW:DP alarms Line-1 & Line-2 feeders - candle filters required;GRN:SFC below target(220.5 g/kWh);YLW:Tank1 below 50% minimum(4.35m=43%);YLW:Tank4 low(3.55m=36%)-approaching 30% threshold;YLW:Tank2/Tank3 level discrepancy(5.19 vs 5.09=0.10m>0.10m tolerance)-gauge fault;GRN:27 tankers received Tank2-Line1 Kiln stock replenished;GRN:7 tankers received Tank4-Line2 Kiln stock boosted"
2026-04-29,0,24,8,19,12,24,23,24,0,24,0,16,5,12,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,,4.17,3.84,3.94,4.27,4.17,3.96,3.87,,0,99968,30720,74944,51232,100000,91104,92928,0,0,22493,6912,17078,11360,20990,19971,20788,0,0,120,0,120,0,120,60,60,0,0,120,0,120,0,120,60,60,0,0,0,0,0,0,0,0,0,0,,TRUE,TRUE,,,,,,,95477,95477,97208,97232,94154,94162,97232,97251,98053,98065,96550,96574,65266,65289,72020,72044,68669,68669,540896,30724,510172,-560,6,510732,10100,9100,11524,119592,0,119592,221.1,480,480,0,16630,24,0,26,0,0,0,26,4.02,5.52,5.44,3.25,8.25,4.75,3.45,80,31,1.6,41,0,0,0,24800,14300,28200,274300,61400,0,5700,30992,71040,16385500,46265700,60026800,92700500,17941000,5131000,45079200,138958112,390802944,"DG# 1,2,3,4,5,6,7,& 8 are available & DGs are operated as per the Cement Plant load requirement;Fuel Oil Consumption of DG#2 & DG#3 calculated on Pro Data basis (225 Gms/kWh) as Mass Flow Meters are not In operation;HFO Storage Tank #1 stock to be maintained at min 50%;Procurement of requested urgent Mech & Elect spares & tools needs to be made asap;The lubricating oil stock Shell Argina S4-40 for engines should be maintained adequately;Injector nozzle replacement for DG#1,2,4,5,&6 is overdue; requires urgent procurement;Frequent DP alarms are occuring in Line 1 and Line 2 feeder units; urgent procurement of new candle filters is required;DG#9- under maintenance due to turbocharger surging. Need turbocharger & Governor overhauling","RED:Trans loss negative(-560kWh/6%)-meter calibration fault;YLW:DG2 & DG3 fuel on Pro Data basis (MFMs non-functional);YLW:DG9 under maintenance-TC surging-overhaul pending;YLW:Injector nozzle replacement overdue DG1,DG2,DG4,DG5,DG6;YLW:DP alarms Line-1 & Line-2 feeders - candle filters required;GRN:SFC below target(221.1 g/kWh);YLW:Tank1 below 50% minimum(4.02m=40%)-critical low;YLW:Tank4 low(3.25m=33%)-approaching 30% threshold;GRN:Sludge tank recovered(41%)-after disposal;YLW:BAO906 Colony2 zero export;GRN:26 tankers received Tank2-Line1 Kiln stock replenished"
2026-04-30,16.0,24.0,24.0,2.0,24.0,24.0,24.0,23.0,0.0,8.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,4.54,4.57,4.68,5.44,4.7,4.69,4.44,4.43,,72608,109728,112416,10880,112832,112512,106624,101920,0,16304,24689,25294,2500,24560,23334,22970,22344,0,0,120,0,0,120,120,0,0,0,0,120,300,0,120,120,300,300,0,0,0,300,0,0,0,300,300,0,,TRUE,TRUE,,,,,,,95477,95493,97232,97256,94162,94186,97251,97253,98065,98089,96574,96598,65289,65313,72044,72067,68669,68669,739520,34660,704860,-508,5,705368,12200,10300,12160,161994,0,161994,219.1,360,1260,900,15370,29,10,15,0,0,0,25,4.3,5.41,5.33,2.9,8.25,4.75,3.45,80,32,1.6,44,0,0,0,23800,14200,114400,273800,60800,0,31200,38560,148608,16410300,46280000,60055000,92974800,18002400,5131000,45084900,138989104,390873984,"""DG#1-8 operated per load; DG#2&3 fuel Pro Data basis; Tank#1 min 50%; Urgent spares procurement; LO stock maintain; Injector nozzle overdue DG#1,2,4,5,6; DP alarms L1&L2; DG#9 TC surging maint""",
2026-05-01,24.0,24.0,24.0,0.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,4.94,4.95,4.95,,4.95,4.95,4.79,4.73,,118592,118848,118752,0,118912,118880,115040,113600,0,26321,26741,26719,0,25692,24535,24539,24664,0,120,60,60,0,60,60,60,60,0,120,60,60,0,60,60,60,60,0,0,0,0,0,0,0,0,0,0,,TRUE,TRUE,,,,,,,95493,95517,97256,97280,94186,94210,97253,97253,98089,98113,96598,96622,65313,65337,72067,72091,68669,68669,822624,36552,786072,-616,4,786688,13500,10600,12452,179211,0,179211,217.9,480,480,0,14890,29,0,16,0,0,0,16,3.78,5.42,5.32,2.64,8.25,4.75,3.45,80,33,1.59,48,0,0,0,23500,14500,184600,274300,60200,0,39300,40336,149952,16434100,46294200,60169400,93248600,18063200,5131000,45116100,139027664,391022592,"""DG#1-8 operated per load; DG#2&3 fuel Pro Data basis; Tank#1 min 50%; Urgent spares procurement; LO stock maintain; Injector nozzle overdue DG#1,2,4,5,6; DP alarms L1&L2; DG#9 TC surging maint""",
2026-05-02,15.0,24.0,24.0,11.0,24.0,21.0,24.0,24.0,0.0,9.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,5.07,4.91,4.91,4.67,4.91,4.68,4.75,4.69,,76032,117824,117792,51392,117920,98272,114048,112672,0,16854,26510,26503,11396,25384,20266,24267,24396,0,60,120,60,60,60,60,60,60,0,60,120,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,,TRUE,TRUE,,,,,,,95517,95532,97280,97304,94210,94234,97253,97264,98113,98137,96622,96643,65337,65361,72091,72115,68669,68669,805952,34600,771352,104,4,771248,12100,10500,12000,175577,0,175577,217.9,540,540,0,14350,29,0,20,0,0,0,20,3.29,5.4,5.31,2.3,8.25,4.75,3.45,80,31,1.59,52,0,0,0,23000,14700,166100,275600,61600,0,43400,40448,146400,16457600,46308700,60354000,93522900,18123400,5131000,45155400,139068000,391172544,"""DG#1-8 operated per load; DG#2&3 fuel Pro Data basis; Tank#1 min 50%; Urgent spares procurement; LO stock maintain; Injector nozzle overdue DG#1,2,4,5,6; DP alarms L1&L2; DG#9 TC surging maint""",
2026-05-03,0.0,24.0,24.0,18.0,12.0,24.0,16.0,24.0,0.0,24.0,0.0,0.0,6.0,12.0,0.0,8.0,0.0,0.0,0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,,4.43,4.43,4.34,4.61,4.43,4.2,4.23,,0,106272,106240,78144,55296,106336,67200,101472,0,0,23911,23904,17552,11974,22138,14618,22408,0,0,120,60,120,120,180,60,60,0,0,120,60,120,120,180,60,60,0,0,0,0,0,0,0,0,0,0,,TRUE,TRUE,,,,,,,95532,95532,97304,97328,94234,94258,97264,97282,98137,98149,96643,96667,65361,65377,72115,72139,68669,68669,620960,33332,587628,-548,5,588176,11000,10600,11732,136505,0,136505,219.8,720,720,0,13630,29,7,5,0,0,0,12,3.41,5.0,4.85,1.78,8.25,4.75,3.45,80,34,1.59,55,0,0,0,20000,15100,94500,176100,60800,0,31500,40224,149952,16480600,46323400,60520100,93798500,18185000,5131000,45198800,139108448,391318944,"""DG#1-8 operated per load; DG#2&3 fuel Pro Data basis; Tank#1 min 50%; Urgent spares procurement; LO stock maintain; Injector nozzle overdue DG#1,2,4,5,6; DP alarms L1&L2; DG#9 TC surging maint""",
2026-05-04,0.00,24.00,24.00,19.00,16.00,13.00,24.00,24.00,0.00,24.00,0.00,0.00,5.00,8.00,11.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,24.00,0,0,0,0,0,0,0,0,0,,4.45,4.45,4.57,4.34,4.53,4.31,4.25,,0,106880,106816,86752,69504,58880,103456,102112,0,0,24048,24034,19440,15154,12202,22259,22374,0,0,120,60,0,60,60,60,60,0,0,120,60,0,60,60,60,60,0,0,0,0,0,0,0,0,0,0,,TRUE,TRUE,,,,,,,95532,95532,97328,97352,94258,94282,97282,97301,98149,98165,96667,96680,65377,65401,72139,72163,68669,68669,634400,30936,603464,-896,5,604360,10900,8500,11536,139511,0,139511.0,219.9,420,420,0,13210,29,0,24,0,5,0,29,3.10,5.11,4.95,1.70,7.98,4.75,3.45,80,31,1.59,59,0,0,0,26600,14700,24400,275400,62400,0,2700,42032,156128,16500600,46338500,60614600,93974600,18245800,5131000,45230300,139148672,391468896,"DG#1,2,3,4,5,6,7,&8 available per cement plant load; DG#2 & DG#3 fuel on Pro Data basis (225 g/kWh) MFMs not operational; HFO Tank#1 stock min 50%; Urgent mech & elect spares procurement needed; Shell Argina S4-40 stock to be maintained; Injector nozzle replacement overdue DG#1,2,4,5,6; DP alarms Line 1 & Line 2 feeders - candle filters required; DG#9 under maintenance - TC surging - need TC & governor overhaul","RED:Negative trans loss (meter fault);YLW:DG2 & DG3 Pro Data basis;YLW:DG9 TC surging - maintenance;YLW:Injector nozzle overdue DG1,2,4,5,6;YLW:DP alarms L1 & L2 feeders;RED:Tank 1 below 50% (3.10m);YLW:Tank 4 critically low (1.70m);YLW:Tank 2/3 gauge discrepancy (0.16m diff)"
2026-05-05,13.0,7.0,24.0,24.0,20.0,7.0,24.0,24.0,0.0,11.0,17.0,0.0,0.0,4.0,17.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,4.54,4.34,4.50,4.48,4.59,4.76,4.36,4.31,,59040,30400,108096,107424,91840,33344,104640,103328,0,13214,6840,24322,23944,19860,6864,22440,22562,0,0,60,0,120,120,0,0,0,0,0,60,300,120,120,0,300,300,0,0,0,300,0,0,0,300,300,0,,TRUE,TRUE,,,,,,,95532,95545,97352,97359,94282,94306,97301,97325,98165,98185,96680,96687,65401,65425,72163,72187,68669,68669,638112,30608,607504,-360,5,607864,10200,8400,12008,140046,0,140046,219.5,300,1200,900,12010,35,8,11,0,0,0,19,3.40,4.70,4.65,1.75,7.45,4.75,3.45,80,33,1.59,63,0,0,0,23200,14200,96100,231500,58000,0,32800,40672,111392,16527200,46353200,60639000,94250000,18308200,5131000,45233000,139190704,391625024,"""DG1,2,3,4,5,6,7&8 available; operated as per plant load requirement;DG2&DG3 HFO on Pro Data basis (225 g/kWh) MFMs not operational;HFO Tank1 stock to be maintained at min 50%;Procurement of urgent Mech & Elect spares required;LO stock Shell Argina S4-40 to be maintained adequately;Injector nozzle replacement for DG1,2,4,5,6 overdue;Frequent DP alarms in L1 and L2 feeder units - urgent candle filter procurement required;DG9 under maintenance TC surging - TC & Governor overhaul required""","""GRN: 8 DGs running normally;YLW: DG2 & DG3 fuel on Pro Data basis (MFMs offline);YLW: DG9 on maintenance (TC surging);YLW: Injector nozzle overdue DG1,DG2,DG4,DG5,DG6;YLW: DP alarms L1 & L2 feeders;RED: Negative trans loss (-360 kWh) meter calibration fault;RED: Tank1 below 50% minimum (3.40m = 34%);RED: Tank4 critically low (1.75m = 17.5%);YLW: Sludge tank at 63% - approaching 70% disposal threshold;YLW: Tank2/Tank3 differential 0.05m within tolerance"""
